-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us      33.004ms        97.83%      33.004ms      33.004ms             1  
                            kernel_unified_attention_2d         0.00%       0.000us         0.00%       0.000us       0.000us      11.586ms        34.35%      11.586ms     241.379us            48  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16...         0.00%       0.000us         0.00%       0.000us       0.000us       8.487ms        25.16%       8.487ms     132.608us            64  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x1...         0.00%       0.000us         0.00%       0.000us       0.000us       6.240ms        18.50%       6.240ms      48.749us           128  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.140ms         3.38%       1.140ms      17.808us            64  
                 _decode_route_coarse_gqa_groups_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.006ms         2.98%       1.006ms      62.903us            16  
                     _reduce_decode_route_coarse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     930.292us         2.76%     930.292us      58.143us            16  
                          _copy_gqa_union_leaves_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     607.897us         1.80%     607.897us      37.994us            16  
                                               aten::mm         0.10%     535.143us         0.11%     634.873us      39.680us     488.032us         1.45%     488.032us      30.502us            16  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT384x1...         0.00%       0.000us         0.00%       0.000us       0.000us     488.032us         1.45%     488.032us     244.016us             2  
                                     triton_per_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     328.212us         0.97%     328.212us       5.210us            63  
                        triton_red_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     327.613us         0.97%     327.613us       5.119us            64  
                        triton_red_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     323.613us         0.96%     323.613us       5.056us            64  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us     319.333us         0.95%     319.333us       4.990us            64  
      _merge_attention_branches_with_aiter_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     314.021us         0.93%     314.021us      19.626us            16  
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     312.733us         0.93%     312.733us       4.964us            63  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     302.615us         0.90%     302.615us       4.803us            63  
