-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us      28.943ms        97.48%      28.943ms      28.943ms             1  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16...         0.00%       0.000us         0.00%       0.000us       0.000us       8.540ms        28.76%       8.540ms     133.432us            64  
                            kernel_unified_attention_2d         0.00%       0.000us         0.00%       0.000us       0.000us       6.797ms        22.89%       6.797ms     141.612us            48  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x1...         0.00%       0.000us         0.00%       0.000us       0.000us       6.294ms        21.20%       6.294ms      49.175us           128  
kernel_unified_attention_3d_num_query_heads_40_num_q...         0.00%       0.000us         0.00%       0.000us       0.000us       3.616ms        12.18%       3.616ms     225.976us            16  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.157ms         3.90%       1.157ms      18.082us            64  
                                               aten::mm         0.18%     861.266us         0.21%     995.145us      62.197us     486.952us         1.64%     486.952us      30.434us            16  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT384x1...         0.00%       0.000us         0.00%       0.000us       0.000us     486.952us         1.64%     486.952us     243.476us             2  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us     377.530us         1.27%     377.530us       5.899us            64  
                        triton_red_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     373.891us         1.26%     373.891us       5.842us            64  
void vllm::reshape_and_cache_flash_kernel<__hip_bflo...         0.00%       0.000us         0.00%       0.000us       0.000us     359.371us         1.21%     359.371us       5.615us            64  
                        triton_red_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     326.734us         1.10%     326.734us       5.105us            64  
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     300.452us         1.01%     300.452us       4.769us            63  
                                     triton_per_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     294.975us         0.99%     294.975us       4.682us            63  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     285.571us         0.96%     285.571us       4.533us            63  
                                            aten::copy_         0.05%     262.076us         0.14%     666.472us       6.801us     160.485us         0.54%     160.485us       1.638us            98  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     160.485us         0.54%     160.485us       4.720us            34  
