-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us      33.262ms        97.81%      33.262ms      33.262ms             1  
                            kernel_unified_attention_2d         0.00%       0.000us         0.00%       0.000us       0.000us      11.742ms        34.53%      11.742ms     244.626us            48  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16...         0.00%       0.000us         0.00%       0.000us       0.000us       8.592ms        25.27%       8.592ms     134.255us            64  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x1...         0.00%       0.000us         0.00%       0.000us       0.000us       6.247ms        18.37%       6.247ms      48.808us           128  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.157ms         3.40%       1.157ms      18.073us            64  
                 _decode_route_coarse_gqa_groups_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.002ms         2.95%       1.002ms      62.628us            16  
                     _reduce_decode_route_coarse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     930.933us         2.74%     930.933us      58.183us            16  
                          _copy_gqa_union_leaves_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     607.257us         1.79%     607.257us      37.954us            16  
                                               aten::mm         0.10%     568.132us         0.12%     683.431us      42.714us     487.872us         1.43%     487.872us      30.492us            16  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT384x1...         0.00%       0.000us         0.00%       0.000us       0.000us     487.872us         1.43%     487.872us     243.936us             2  
                        triton_red_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     332.651us         0.98%     332.651us       5.198us            64  
                        triton_red_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     318.929us         0.94%     318.929us       4.983us            64  
      _merge_attention_branches_with_aiter_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     315.380us         0.93%     315.380us      19.711us            16  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us     315.372us         0.93%     315.372us       4.928us            64  
                                     triton_per_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     298.093us         0.88%     298.093us       4.732us            63  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     292.615us         0.86%     292.615us       4.645us            63  
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     291.055us         0.86%     291.055us       4.620us            63  
